job_title,salary_usd,experience_level,employment_type,company_size,remote_ratio,education_required,years_experience,industry,posting_date,benefits_score,country,exp_label,exp_order,size_label,size_order,post_year,post_month,post_ym
AI Consultant,148424.0,EX,FT,M,0,Bachelor,13,Education,2024-04-23,6.9,ISRAEL,Expert (EX),4,Medium (M),2,2024,4,2024-04
AI Research Scientist,60339.0,MI,FL,L,100,Bachelor,2,Media,2024-04-23,9.3,SOUTH KOREA,Mid (MI),2,Large (L),3,2024,4,2024-04
Principal Data Scientist,58962.0,EN,PT,L,50,Associate,1,Healthcare,2025-03-04,5.8,SOUTH KOREA,Entry (EN),1,Large (L),3,2025,3,2025-03
AI Consultant,189541.0,EX,PT,S,0,PhD,14,Finance,2024-11-15,8.2,DENMARK,Expert (EX),4,Small (S),1,2024,11,2024-11
AI Architect,59745.0,EN,CT,S,0,PhD,0,Government,2024-05-11,7.8,CANADA,Entry (EN),1,Small (S),1,2024,5,2024-05
Machine Learning Researcher,43166.0,EN,PT,M,0,Master,1,Real Estate,2024-03-29,5.5,SOUTH KOREA,Entry (EN),1,Medium (M),2,2024,3,2024-03
Deep Learning Engineer,123650.0,EX,CT,S,0,Bachelor,14,Consulting,2024-04-16,5.2,CANADA,Expert (EX),4,Small (S),1,2024,4,2024-04
Robotics Engineer,96472.0,SE,FL,S,0,PhD,9,Telecommunications,2025-02-04,7.6,IRELAND,Senior (SE),3,Small (S),1,2025,2,2025-02
Deep Learning Engineer,174334.0,EX,CT,M,50,PhD,17,Media,2025-04-04,6.6,IRELAND,Expert (EX),4,Medium (M),2,2025,4,2025-04
Machine Learning Researcher,204552.0,EX,FT,S,50,Bachelor,17,Technology,2024-05-06,5.0,GERMANY,Expert (EX),4,Small (S),1,2024,5,2024-05
Data Engineer,154560.0,SE,FT,L,50,PhD,5,Real Estate,2024-12-13,8.4,UNITED KINGDOM,Senior (SE),3,Large (L),3,2024,12,2024-12
Research Scientist,51798.0,MI,PT,S,0,PhD,3,Government,2024-11-28,6.5,IRELAND,Mid (MI),2,Small (S),1,2024,11,2024-11
Data Analyst,66820.0,EN,FT,M,0,Master,1,Healthcare,2024-09-12,5.9,SINGAPORE,Entry (EN),1,Medium (M),2,2024,9,2024-09
Data Engineer,187920.0,SE,PT,M,100,Bachelor,9,Transportation,2024-08-29,8.3,SWITZERLAND,Senior (SE),3,Medium (M),2,2024,8,2024-08
Data Scientist,138991.0,EX,FT,M,100,Associate,19,Finance,2025-02-17,9.5,GERMANY,Expert (EX),4,Medium (M),2,2025,2,2025-02
AI Software Engineer,95483.0,SE,CT,S,50,Bachelor,5,Real Estate,2024-02-21,9.8,SOUTH KOREA,Senior (SE),3,Small (S),1,2024,2,2024-02
AI Research Scientist,55981.0,MI,PT,M,100,PhD,3,Retail,2024-11-14,9.8,FINLAND,Mid (MI),2,Medium (M),2,2024,11,2024-11
AI Product Manager,85179.0,MI,FT,M,0,Master,4,Media,2024-12-06,5.2,AUSTRALIA,Mid (MI),2,Medium (M),2,2024,12,2024-12
Data Analyst,199374.0,EX,PT,M,50,Master,15,Gaming,2024-10-19,5.9,AUSTRALIA,Expert (EX),4,Medium (M),2,2024,10,2024-10
AI Architect,132228.0,EX,PT,S,50,Bachelor,11,Real Estate,2025-03-08,9.2,NETHERLANDS,Expert (EX),4,Small (S),1,2025,3,2025-03
Research Scientist,141523.0,EX,PT,M,50,Associate,17,Retail,2024-05-02,5.8,SWEDEN,Expert (EX),4,Medium (M),2,2024,5,2024-05
AI Software Engineer,34357.0,EN,PT,S,100,PhD,1,Retail,2024-02-21,5.9,CHINA,Entry (EN),1,Small (S),1,2024,2,2024-02
Computer Vision Engineer,224939.0,EX,CT,S,100,PhD,13,Media,2024-12-27,8.6,NETHERLANDS,Expert (EX),4,Small (S),1,2024,12,2024-12
Machine Learning Engineer,37650.0,EN,PT,M,0,Associate,1,Education,2024-02-14,9.7,FINLAND,Entry (EN),1,Medium (M),2,2024,2,2024-02
Machine Learning Researcher,58016.0,EN,FT,S,100,Master,0,Education,2024-03-13,6.1,FRANCE,Entry (EN),1,Small (S),1,2024,3,2024-03
ML Ops Engineer,105368.0,SE,CT,M,50,Associate,8,Gaming,2024-11-20,6.3,GERMANY,Senior (SE),3,Medium (M),2,2024,11,2024-11
Principal Data Scientist,85579.0,MI,FT,M,0,Associate,4,Government,2024-01-23,7.3,UNITED STATES,Mid (MI),2,Medium (M),2,2024,1,2024-01
AI Specialist,155722.0,EX,CT,L,0,Associate,11,Retail,2025-02-16,5.5,IRELAND,Expert (EX),4,Large (L),3,2025,2,2025-02
Autonomous Systems Engineer,174629.0,EX,PT,S,100,Bachelor,10,Technology,2024-04-03,8.8,FRANCE,Expert (EX),4,Small (S),1,2024,4,2024-04
NLP Engineer,276154.0,EX,PT,L,0,PhD,12,Manufacturing,2024-05-24,5.3,AUSTRALIA,Expert (EX),4,Large (L),3,2024,5,2024-05
Head of AI,58885.0,MI,FL,L,100,Associate,2,Telecommunications,2025-02-24,5.9,IRELAND,Mid (MI),2,Large (L),3,2025,2,2025-02
Data Scientist,170560.0,EX,PT,L,50,Master,16,Real Estate,2024-08-27,9.0,SWEDEN,Expert (EX),4,Large (L),3,2024,8,2024-08
Robotics Engineer,116679.0,MI,PT,L,50,Bachelor,3,Finance,2024-07-16,6.9,SWEDEN,Mid (MI),2,Large (L),3,2024,7,2024-07
Head of AI,133361.0,EX,PT,M,50,Master,15,Education,2025-04-14,8.9,INDIA,Expert (EX),4,Medium (M),2,2025,4,2025-04
Robotics Engineer,75390.0,MI,FT,S,50,PhD,3,Retail,2024-06-12,8.6,SWEDEN,Mid (MI),2,Small (S),1,2024,6,2024-06
NLP Engineer,96988.0,SE,FT,L,0,Bachelor,9,Technology,2025-01-04,7.6,IRELAND,Senior (SE),3,Large (L),3,2025,1,2025-01
Computer Vision Engineer,249444.0,EX,FL,L,50,Bachelor,19,Energy,2024-05-07,8.6,AUSTRALIA,Expert (EX),4,Large (L),3,2024,5,2024-05
Head of AI,63712.0,MI,PT,M,0,Associate,4,Automotive,2024-04-17,7.1,CHINA,Mid (MI),2,Medium (M),2,2024,4,2024-04
Machine Learning Engineer,252062.0,EX,FL,S,100,Master,12,Consulting,2024-04-21,5.2,UNITED STATES,Expert (EX),4,Small (S),1,2024,4,2024-04
Data Scientist,41717.0,EN,FT,S,0,PhD,0,Automotive,2024-10-01,7.3,CHINA,Entry (EN),1,Small (S),1,2024,10,2024-10
Computer Vision Engineer,90670.0,MI,CT,S,50,Associate,4,Energy,2024-02-27,8.8,AUSTRALIA,Mid (MI),2,Small (S),1,2024,2,2024-02
Research Scientist,34179.0,EN,CT,S,50,PhD,1,Consulting,2025-03-02,7.7,IRELAND,Entry (EN),1,Small (S),1,2025,3,2025-03
Head of AI,57423.0,EN,CT,S,0,Associate,0,Technology,2024-12-11,7.0,SWEDEN,Entry (EN),1,Small (S),1,2024,12,2024-12
ML Ops Engineer,69408.0,EN,CT,L,50,Bachelor,0,Technology,2024-12-14,9.3,AUSTRALIA,Entry (EN),1,Large (L),3,2024,12,2024-12
Robotics Engineer,223460.0,EX,FL,L,0,Master,19,Automotive,2024-04-13,6.9,SWITZERLAND,Expert (EX),4,Large (L),3,2024,4,2024-04
Data Engineer,162807.0,SE,FT,L,0,Associate,8,Real Estate,2024-07-04,5.9,SWEDEN,Senior (SE),3,Large (L),3,2024,7,2024-07
AI Consultant,82741.0,MI,FT,L,0,PhD,3,Energy,2025-04-26,9.7,INDIA,Mid (MI),2,Large (L),3,2025,4,2025-04
Robotics Engineer,39957.0,EN,CT,S,50,Bachelor,0,Transportation,2024-12-30,5.1,CHINA,Entry (EN),1,Small (S),1,2024,12,2024-12
Head of AI,110684.0,MI,FT,M,0,Associate,2,Finance,2025-02-27,7.1,NORWAY,Mid (MI),2,Medium (M),2,2025,2,2025-02
AI Specialist,356760.0,EX,PT,M,0,Associate,10,Technology,2024-10-18,5.8,SWITZERLAND,Expert (EX),4,Medium (M),2,2024,10,2024-10
AI Software Engineer,184181.0,EX,PT,S,0,PhD,18,Retail,2024-09-07,5.5,GERMANY,Expert (EX),4,Small (S),1,2024,9,2024-09
AI Research Scientist,147863.0,EX,FT,M,0,Master,19,Manufacturing,2024-09-29,5.3,ISRAEL,Expert (EX),4,Medium (M),2,2024,9,2024-09
Robotics Engineer,83794.0,EN,PT,S,50,Associate,0,Healthcare,2024-01-03,5.6,NORWAY,Entry (EN),1,Small (S),1,2024,1,2024-01
Robotics Engineer,68757.0,MI,CT,S,50,Master,3,Retail,2024-03-10,6.0,CHINA,Mid (MI),2,Small (S),1,2024,3,2024-03
Machine Learning Engineer,92522.0,SE,FL,S,100,PhD,7,Technology,2025-04-05,7.3,JAPAN,Senior (SE),3,Small (S),1,2025,4,2025-04
ML Ops Engineer,155652.0,EX,CT,S,50,Master,16,Retail,2024-03-02,9.2,CANADA,Expert (EX),4,Small (S),1,2024,3,2024-03
Machine Learning Researcher,291496.0,EX,FT,M,50,Associate,13,Energy,2024-03-10,6.9,SWITZERLAND,Expert (EX),4,Medium (M),2,2024,3,2024-03
AI Specialist,78037.0,SE,CT,M,50,Master,8,Energy,2024-09-03,7.0,INDIA,Senior (SE),3,Medium (M),2,2024,9,2024-09
Principal Data Scientist,119754.0,SE,FT,L,100,Bachelor,8,Media,2024-01-15,8.8,GERMANY,Senior (SE),3,Large (L),3,2024,1,2024-01
Deep Learning Engineer,73048.0,MI,PT,L,0,Bachelor,4,Automotive,2024-11-24,8.8,IRELAND,Mid (MI),2,Large (L),3,2024,11,2024-11
AI Software Engineer,63483.0,MI,FL,S,100,Associate,3,Telecommunications,2025-04-03,9.5,INDIA,Mid (MI),2,Small (S),1,2025,4,2025-04
AI Consultant,38282.0,EN,PT,S,0,Associate,0,Gaming,2024-01-26,9.0,ISRAEL,Entry (EN),1,Small (S),1,2024,1,2024-01
Robotics Engineer,148538.0,EX,FL,S,0,Associate,14,Gaming,2024-02-22,7.9,CANADA,Expert (EX),4,Small (S),1,2024,2,2024-02
Machine Learning Engineer,120722.0,EX,PT,L,100,Associate,16,Retail,2025-02-02,9.0,JAPAN,Expert (EX),4,Large (L),3,2025,2,2025-02
Head of AI,70295.0,SE,CT,S,100,Bachelor,5,Gaming,2024-07-17,8.7,AUSTRIA,Senior (SE),3,Small (S),1,2024,7,2024-07
NLP Engineer,132015.0,SE,PT,S,0,Bachelor,8,Education,2024-06-08,8.3,GERMANY,Senior (SE),3,Small (S),1,2024,6,2024-06
AI Research Scientist,283388.0,EX,PT,L,0,PhD,11,Automotive,2024-06-23,8.3,GERMANY,Expert (EX),4,Large (L),3,2024,6,2024-06
Principal Data Scientist,121545.0,EX,PT,S,50,Bachelor,11,Finance,2024-06-19,7.2,AUSTRIA,Expert (EX),4,Small (S),1,2024,6,2024-06
Robotics Engineer,55925.0,MI,FL,S,50,Bachelor,2,Media,2024-08-20,9.3,JAPAN,Mid (MI),2,Small (S),1,2024,8,2024-08
Machine Learning Researcher,66436.0,SE,FL,S,100,Master,5,Manufacturing,2024-11-25,8.1,AUSTRIA,Senior (SE),3,Small (S),1,2024,11,2024-11
AI Architect,73513.0,MI,FT,L,0,Bachelor,3,Retail,2024-11-01,6.3,SOUTH KOREA,Mid (MI),2,Large (L),3,2024,11,2024-11
AI Consultant,90639.0,SE,CT,S,50,PhD,7,Healthcare,2025-02-28,9.4,CHINA,Senior (SE),3,Small (S),1,2025,2,2025-02
Deep Learning Engineer,231707.0,EX,PT,M,0,Master,15,Manufacturing,2024-09-16,6.0,SWITZERLAND,Expert (EX),4,Medium (M),2,2024,9,2024-09
Autonomous Systems Engineer,63348.0,EN,FT,L,100,PhD,0,Finance,2024-02-20,6.5,SOUTH KOREA,Entry (EN),1,Large (L),3,2024,2,2024-02
Autonomous Systems Engineer,83942.0,EN,FL,L,0,Master,0,Transportation,2025-03-01,5.3,CANADA,Entry (EN),1,Large (L),3,2025,3,2025-03
Computer Vision Engineer,155181.0,SE,FT,S,0,Bachelor,5,Education,2024-11-04,6.9,DENMARK,Senior (SE),3,Small (S),1,2024,11,2024-11
Deep Learning Engineer,74173.0,EN,FL,S,50,Bachelor,0,Real Estate,2024-01-13,8.9,DENMARK,Entry (EN),1,Small (S),1,2024,1,2024-01
AI Software Engineer,60280.0,MI,FL,S,50,Bachelor,3,Education,2024-07-11,8.3,AUSTRIA,Mid (MI),2,Small (S),1,2024,7,2024-07
AI Specialist,48119.0,EN,CT,S,100,Associate,1,Telecommunications,2024-02-02,8.3,IRELAND,Entry (EN),1,Small (S),1,2024,2,2024-02
ML Ops Engineer,60303.0,MI,PT,M,50,Master,3,Finance,2025-03-08,8.6,JAPAN,Mid (MI),2,Medium (M),2,2025,3,2025-03
Data Analyst,71297.0,EN,CT,M,100,Master,0,Technology,2024-09-20,8.7,FRANCE,Entry (EN),1,Medium (M),2,2024,9,2024-09
AI Consultant,101407.0,MI,FL,M,100,PhD,2,Telecommunications,2024-06-21,6.9,GERMANY,Mid (MI),2,Medium (M),2,2024,6,2024-06
AI Consultant,61855.0,EN,CT,S,0,Associate,1,Telecommunications,2024-04-15,5.3,UNITED KINGDOM,Entry (EN),1,Small (S),1,2024,4,2024-04
Deep Learning Engineer,179546.0,EX,FL,S,0,Master,16,Retail,2024-01-28,9.0,SWEDEN,Expert (EX),4,Small (S),1,2024,1,2024-01
Machine Learning Engineer,47108.0,EN,FT,S,50,Master,1,Healthcare,2024-08-07,9.2,FRANCE,Entry (EN),1,Small (S),1,2024,8,2024-08
Data Scientist,182681.0,EX,FT,L,0,Master,12,Media,2024-10-15,5.9,CANADA,Expert (EX),4,Large (L),3,2024,10,2024-10
AI Architect,150617.0,EX,FT,M,50,Bachelor,19,Consulting,2024-07-31,5.6,INDIA,Expert (EX),4,Medium (M),2,2024,7,2024-07
Machine Learning Engineer,143317.0,SE,CT,S,100,Associate,5,Manufacturing,2024-07-29,6.3,SWITZERLAND,Senior (SE),3,Small (S),1,2024,7,2024-07
Data Engineer,94197.0,EN,FT,L,0,Master,0,Energy,2024-04-13,5.4,UNITED STATES,Entry (EN),1,Large (L),3,2024,4,2024-04
Research Scientist,69816.0,EN,PT,S,50,PhD,1,Manufacturing,2024-07-23,7.7,SINGAPORE,Entry (EN),1,Small (S),1,2024,7,2024-07
Head of AI,106657.0,SE,FL,S,0,Master,6,Finance,2024-11-13,7.5,NETHERLANDS,Senior (SE),3,Small (S),1,2024,11,2024-11
Computer Vision Engineer,65600.0,MI,PT,L,0,Master,2,Government,2024-09-01,6.4,CHINA,Mid (MI),2,Large (L),3,2024,9,2024-09
AI Specialist,64058.0,EN,FT,S,0,PhD,0,Telecommunications,2024-12-04,5.4,UNITED STATES,Entry (EN),1,Small (S),1,2024,12,2024-12
Machine Learning Researcher,71442.0,MI,CT,S,50,PhD,3,Media,2024-11-11,6.7,SINGAPORE,Mid (MI),2,Small (S),1,2024,11,2024-11
AI Research Scientist,246594.0,EX,FL,M,0,Master,16,Healthcare,2024-06-27,8.7,UNITED STATES,Expert (EX),4,Medium (M),2,2024,6,2024-06
Head of AI,61045.0,MI,CT,M,50,PhD,4,Energy,2024-10-17,9.0,IRELAND,Mid (MI),2,Medium (M),2,2024,10,2024-10
Data Engineer,96832.0,SE,CT,S,100,Associate,8,Gaming,2024-05-27,8.1,JAPAN,Senior (SE),3,Small (S),1,2024,5,2024-05
Data Scientist,46308.0,EN,FT,S,100,Associate,1,Manufacturing,2025-03-21,7.9,FINLAND,Entry (EN),1,Small (S),1,2025,3,2025-03
Research Scientist,77542.0,EN,FT,M,0,Master,1,Real Estate,2024-06-13,10.0,AUSTRALIA,Entry (EN),1,Medium (M),2,2024,6,2024-06
Machine Learning Engineer,86551.0,MI,FL,S,0,PhD,3,Media,2024-08-09,9.2,FRANCE,Mid (MI),2,Small (S),1,2024,8,2024-08
Autonomous Systems Engineer,83920.0,MI,PT,L,0,Associate,2,Education,2024-05-23,7.7,CHINA,Mid (MI),2,Large (L),3,2024,5,2024-05
AI Software Engineer,58833.0,EN,CT,S,100,Master,1,Telecommunications,2024-08-19,5.3,FRANCE,Entry (EN),1,Small (S),1,2024,8,2024-08
Computer Vision Engineer,92219.0,MI,CT,M,100,Master,3,Technology,2024-01-12,6.5,SINGAPORE,Mid (MI),2,Medium (M),2,2024,1,2024-01
AI Architect,65352.0,EN,FT,S,0,Bachelor,0,Consulting,2024-04-19,7.7,AUSTRALIA,Entry (EN),1,Small (S),1,2024,4,2024-04
Data Engineer,202187.0,EX,PT,L,0,PhD,14,Education,2025-03-11,6.1,JAPAN,Expert (EX),4,Large (L),3,2025,3,2025-03
Deep Learning Engineer,56106.0,EN,PT,M,100,Master,1,Healthcare,2024-06-18,5.9,SOUTH KOREA,Entry (EN),1,Medium (M),2,2024,6,2024-06
Autonomous Systems Engineer,79022.0,MI,FL,L,50,Bachelor,2,Transportation,2025-01-17,8.1,ISRAEL,Mid (MI),2,Large (L),3,2025,1,2025-01
AI Product Manager,159384.0,SE,FL,M,100,Associate,8,Energy,2024-05-23,6.8,SWITZERLAND,Senior (SE),3,Medium (M),2,2024,5,2024-05
AI Product Manager,116468.0,MI,FT,S,100,Bachelor,3,Government,2024-12-09,7.2,UNITED STATES,Mid (MI),2,Small (S),1,2024,12,2024-12
AI Product Manager,67430.0,MI,FL,L,0,Bachelor,2,Manufacturing,2025-01-06,6.3,CHINA,Mid (MI),2,Large (L),3,2025,1,2025-01
Machine Learning Researcher,126440.0,MI,FT,L,0,Master,2,Healthcare,2024-02-15,5.0,UNITED KINGDOM,Mid (MI),2,Large (L),3,2024,2,2024-02
AI Research Scientist,73463.0,MI,CT,M,50,Master,4,Energy,2024-09-26,5.1,GERMANY,Mid (MI),2,Medium (M),2,2024,9,2024-09
Machine Learning Researcher,51092.0,MI,FT,M,50,Bachelor,2,Real Estate,2024-04-11,9.3,IRELAND,Mid (MI),2,Medium (M),2,2024,4,2024-04
Autonomous Systems Engineer,196121.0,EX,CT,M,0,Bachelor,16,Media,2025-02-27,7.5,CANADA,Expert (EX),4,Medium (M),2,2025,2,2025-02
Data Engineer,184155.0,EX,CT,L,0,Master,11,Gaming,2024-10-07,8.8,ISRAEL,Expert (EX),4,Large (L),3,2024,10,2024-10
NLP Engineer,57079.0,EN,PT,M,50,Associate,1,Government,2024-09-21,7.5,SWEDEN,Entry (EN),1,Medium (M),2,2024,9,2024-09
NLP Engineer,91514.0,MI,FL,S,0,Associate,2,Gaming,2024-02-02,5.1,FRANCE,Mid (MI),2,Small (S),1,2024,2,2024-02
Data Engineer,46310.0,EN,CT,L,100,PhD,1,Energy,2024-03-30,7.9,CHINA,Entry (EN),1,Large (L),3,2024,3,2024-03
Autonomous Systems Engineer,57760.0,EN,PT,L,50,PhD,1,Gaming,2024-03-24,7.0,ISRAEL,Entry (EN),1,Large (L),3,2024,3,2024-03
ML Ops Engineer,190631.0,SE,FL,S,50,Bachelor,6,Real Estate,2024-04-03,6.7,SWITZERLAND,Senior (SE),3,Small (S),1,2024,4,2024-04
Data Engineer,64638.0,MI,FT,M,0,Master,4,Transportation,2024-02-12,9.7,INDIA,Mid (MI),2,Medium (M),2,2024,2,2024-02
Data Scientist,60955.0,EN,PT,S,0,PhD,1,Energy,2024-06-12,6.3,AUSTRALIA,Entry (EN),1,Small (S),1,2024,6,2024-06
NLP Engineer,109601.0,SE,FT,M,0,Master,7,Manufacturing,2025-04-08,5.0,SINGAPORE,Senior (SE),3,Medium (M),2,2025,4,2025-04
Data Engineer,150046.0,MI,FL,L,50,Bachelor,3,Gaming,2024-03-06,9.2,SWITZERLAND,Mid (MI),2,Large (L),3,2024,3,2024-03
AI Specialist,92005.0,SE,PT,S,100,Bachelor,5,Retail,2025-02-25,8.9,CHINA,Senior (SE),3,Small (S),1,2025,2,2025-02
Head of AI,94166.0,EN,PT,L,0,Bachelor,1,Media,2024-05-31,9.7,UNITED STATES,Entry (EN),1,Large (L),3,2024,5,2024-05
Head of AI,106738.0,MI,FL,L,0,Associate,3,Healthcare,2025-04-17,7.0,SWEDEN,Mid (MI),2,Large (L),3,2025,4,2025-04
AI Software Engineer,71691.0,EN,FL,S,50,Bachelor,0,Media,2024-07-28,9.5,NETHERLANDS,Entry (EN),1,Small (S),1,2024,7,2024-07
AI Consultant,204226.0,EX,FL,S,100,Master,10,Healthcare,2024-02-08,9.6,CANADA,Expert (EX),4,Small (S),1,2024,2,2024-02
Autonomous Systems Engineer,41958.0,EN,FT,M,100,Bachelor,0,Manufacturing,2024-04-14,8.8,INDIA,Entry (EN),1,Medium (M),2,2024,4,2024-04
AI Research Scientist,94876.0,SE,PT,L,0,Bachelor,7,Government,2024-03-15,5.7,CHINA,Senior (SE),3,Large (L),3,2024,3,2024-03
AI Specialist,99617.0,MI,CT,M,100,Master,4,Education,2024-05-28,8.7,SINGAPORE,Mid (MI),2,Medium (M),2,2024,5,2024-05
Computer Vision Engineer,116667.0,MI,FT,L,50,PhD,3,Finance,2024-10-14,6.9,FRANCE,Mid (MI),2,Large (L),3,2024,10,2024-10
AI Software Engineer,113934.0,SE,FL,M,0,Associate,8,Real Estate,2025-02-18,7.4,GERMANY,Senior (SE),3,Medium (M),2,2025,2,2025-02
Robotics Engineer,66497.0,MI,PT,S,0,Master,4,Gaming,2024-07-30,8.0,CANADA,Mid (MI),2,Small (S),1,2024,7,2024-07
Autonomous Systems Engineer,117641.0,SE,PT,L,0,Associate,9,Energy,2024-10-22,8.5,FRANCE,Senior (SE),3,Large (L),3,2024,10,2024-10
AI Product Manager,69088.0,SE,CT,S,0,Associate,6,Manufacturing,2024-08-01,7.6,CHINA,Senior (SE),3,Small (S),1,2024,8,2024-08
Robotics Engineer,98044.0,MI,FT,L,50,Associate,3,Consulting,2024-09-12,5.8,CANADA,Mid (MI),2,Large (L),3,2024,9,2024-09
Data Engineer,158788.0,EX,FL,S,0,Master,13,Healthcare,2024-01-31,7.8,CANADA,Expert (EX),4,Small (S),1,2024,1,2024-01
Research Scientist,148163.0,EX,FL,M,50,Bachelor,17,Finance,2024-03-06,5.0,FINLAND,Expert (EX),4,Medium (M),2,2024,3,2024-03
Machine Learning Researcher,121757.0,EX,FT,S,0,Master,10,Energy,2025-02-01,7.0,FINLAND,Expert (EX),4,Small (S),1,2025,2,2025-02
Head of AI,102494.0,SE,CT,L,100,Associate,9,Government,2024-09-19,8.2,INDIA,Senior (SE),3,Large (L),3,2024,9,2024-09
Machine Learning Engineer,46530.0,EN,FL,S,100,Associate,0,Finance,2024-07-05,9.5,CHINA,Entry (EN),1,Small (S),1,2024,7,2024-07
NLP Engineer,115202.0,MI,FL,L,0,Associate,3,Transportation,2024-07-14,6.1,FRANCE,Mid (MI),2,Large (L),3,2024,7,2024-07
AI Research Scientist,132950.0,SE,FL,S,0,Bachelor,7,Real Estate,2024-01-30,7.3,SWEDEN,Senior (SE),3,Small (S),1,2024,1,2024-01
AI Product Manager,170400.0,SE,FT,L,50,Associate,6,Government,2025-04-20,8.3,UNITED STATES,Senior (SE),3,Large (L),3,2025,4,2025-04
AI Product Manager,91256.0,EN,PT,S,0,Bachelor,0,Technology,2024-05-14,6.4,NORWAY,Entry (EN),1,Small (S),1,2024,5,2024-05
Data Analyst,79564.0,MI,PT,L,0,Bachelor,3,Media,2025-04-22,5.3,ISRAEL,Mid (MI),2,Large (L),3,2025,4,2025-04
Data Analyst,71665.0,MI,PT,M,50,PhD,4,Education,2024-07-01,8.5,IRELAND,Mid (MI),2,Medium (M),2,2024,7,2024-07
Machine Learning Researcher,78361.0,MI,PT,L,0,Bachelor,4,Real Estate,2024-10-21,7.3,FINLAND,Mid (MI),2,Large (L),3,2024,10,2024-10
ML Ops Engineer,79416.0,MI,FL,L,0,Master,3,Consulting,2024-09-24,8.3,JAPAN,Mid (MI),2,Large (L),3,2024,9,2024-09
Autonomous Systems Engineer,84441.0,MI,CT,S,50,Associate,2,Media,2024-04-06,8.9,GERMANY,Mid (MI),2,Small (S),1,2024,4,2024-04
AI Software Engineer,123970.0,EX,CT,S,100,Bachelor,14,Manufacturing,2024-11-10,9.2,IRELAND,Expert (EX),4,Small (S),1,2024,11,2024-11
Autonomous Systems Engineer,46093.0,EN,FT,L,50,PhD,1,Energy,2025-02-10,7.4,IRELAND,Entry (EN),1,Large (L),3,2025,2,2025-02
Head of AI,52901.0,EN,CT,S,100,Master,0,Manufacturing,2024-09-13,6.1,GERMANY,Entry (EN),1,Small (S),1,2024,9,2024-09
Robotics Engineer,100926.0,MI,PT,M,0,Master,4,Retail,2025-03-16,8.3,FRANCE,Mid (MI),2,Medium (M),2,2025,3,2025-03
Research Scientist,206183.0,SE,FT,L,50,PhD,8,Automotive,2025-03-31,10.0,UNITED STATES,Senior (SE),3,Large (L),3,2025,3,2025-03
Deep Learning Engineer,150708.0,SE,CT,M,50,Master,6,Energy,2024-01-23,6.1,SINGAPORE,Senior (SE),3,Medium (M),2,2024,1,2024-01
NLP Engineer,130218.0,MI,FT,L,0,Master,3,Automotive,2024-02-19,5.4,SWITZERLAND,Mid (MI),2,Large (L),3,2024,2,2024-02
Data Scientist,102081.0,SE,FT,L,100,Master,5,Healthcare,2025-04-19,8.3,INDIA,Senior (SE),3,Large (L),3,2025,4,2025-04
ML Ops Engineer,72715.0,SE,FL,M,50,PhD,8,Transportation,2024-12-17,6.1,FINLAND,Senior (SE),3,Medium (M),2,2024,12,2024-12
NLP Engineer,207778.0,EX,FL,S,100,Master,17,Telecommunications,2024-06-01,6.4,NETHERLANDS,Expert (EX),4,Small (S),1,2024,6,2024-06
Autonomous Systems Engineer,58287.0,EN,CT,L,100,Associate,0,Finance,2024-10-17,9.4,FINLAND,Entry (EN),1,Large (L),3,2024,10,2024-10
AI Product Manager,54110.0,EN,PT,L,0,PhD,0,Telecommunications,2025-04-05,6.4,ISRAEL,Entry (EN),1,Large (L),3,2025,4,2025-04
AI Specialist,142610.0,EX,PT,M,50,Bachelor,18,Government,2024-03-13,5.9,JAPAN,Expert (EX),4,Medium (M),2,2024,3,2024-03
Principal Data Scientist,60258.0,EN,CT,M,0,PhD,1,Transportation,2025-02-02,7.2,CANADA,Entry (EN),1,Medium (M),2,2025,2,2025-02
Data Engineer,81215.0,EN,PT,L,0,Associate,0,Telecommunications,2024-06-02,9.4,FRANCE,Entry (EN),1,Large (L),3,2024,6,2024-06
Principal Data Scientist,74551.0,EN,FL,L,0,PhD,0,Real Estate,2024-11-25,9.0,UNITED STATES,Entry (EN),1,Large (L),3,2024,11,2024-11
Head of AI,52976.0,EN,PT,M,50,Master,0,Retail,2024-08-15,9.2,ISRAEL,Entry (EN),1,Medium (M),2,2024,8,2024-08
ML Ops Engineer,58138.0,EN,PT,S,100,PhD,0,Media,2024-02-04,8.5,AUSTRALIA,Entry (EN),1,Small (S),1,2024,2,2024-02
Robotics Engineer,128677.0,EN,PT,L,50,Associate,0,Real Estate,2024-06-07,6.2,SWITZERLAND,Entry (EN),1,Large (L),3,2024,6,2024-06
AI Consultant,66016.0,EN,FT,L,50,PhD,1,Media,2024-08-09,9.4,SINGAPORE,Entry (EN),1,Large (L),3,2024,8,2024-08
Autonomous Systems Engineer,40789.0,EN,PT,M,50,PhD,1,Healthcare,2024-08-13,7.5,FINLAND,Entry (EN),1,Medium (M),2,2024,8,2024-08
Computer Vision Engineer,157880.0,EX,FT,L,100,PhD,12,Energy,2025-03-01,6.0,IRELAND,Expert (EX),4,Large (L),3,2025,3,2025-03
Data Analyst,92409.0,MI,FT,S,50,Associate,2,Government,2024-04-05,7.1,SINGAPORE,Mid (MI),2,Small (S),1,2024,4,2024-04
Robotics Engineer,66201.0,EN,CT,M,100,Master,1,Telecommunications,2024-01-31,7.8,AUSTRALIA,Entry (EN),1,Medium (M),2,2024,1,2024-01
